,Date,Model,Count,Normalized Count,day,month,year
158,969,118,5,-0.2910219364571754,30,8,2016
159,969,93,2,-0.30054385580762594,30,8,2016
160,969,81,82,-0.04662600646227884,30,8,2016
161,969,38,387,0.921435794166857,30,8,2016
162,969,107,280,0.5818206706674552,30,8,2016
163,969,77,2,-0.30054385580762594,30,8,2016
164,969,27,19,-0.24658631282173968,30,8,2016
165,969,102,63,-0.10693149568179877,30,8,2016
166,969,84,5,-0.2910219364571754,30,8,2016
167,969,112,6,-0.28784796334035856,30,8,2016
168,969,1,51,-0.14501917308360082,30,8,2016
169,969,43,676,1.8387140249269232,30,8,2016
170,969,10,6,-0.28784796334035856,30,8,2016
171,969,120,21,-0.240238366588106,30,8,2016
172,969,111,1,-0.30371782892444277,30,8,2016
173,969,30,1,-0.30371782892444277,30,8,2016
174,969,72,10,-0.27515207087309124,30,8,2016
175,969,106,43,-0.17041095801813555,30,8,2016
176,969,83,3,-0.2973698826908091,30,8,2016
177,969,86,17,-0.25293425905537337,30,8,2016
178,969,109,2,-0.30054385580762594,30,8,2016
179,969,80,1,-0.30371782892444277,30,8,2016
180,969,20,12,-0.2688041246394575,30,8,2016
181,969,2,43,-0.17041095801813555,30,8,2016
182,969,0,2,-0.30054385580762594,30,8,2016
183,969,116,1,-0.30371782892444277,30,8,2016
184,969,41,22,-0.23706439347128916,30,8,2016
185,968,7,2,-0.30054385580762594,29,8,2016
186,968,42,252,0.49294942339658376,29,8,2016
187,968,120,25,-0.22754247412083864,29,8,2016
188,968,107,321,0.7119535684569457,29,8,2016
189,968,0,1,-0.30371782892444277,29,8,2016
190,968,71,1,-0.30371782892444277,29,8,2016
191,968,48,39,-0.1831068504854029,29,8,2016
192,968,81,81,-0.049799979579095675,29,8,2016
193,968,100,73,-0.07519176451363038,29,8,2016
194,968,89,76,-0.06566984516317986,29,8,2016
195,968,39,5,-0.2910219364571754,29,8,2016
196,968,58,1,-0.30371782892444277,29,8,2016
197,968,101,128,0.09937675691129574,29,8,2016
198,968,44,616,1.6482756379179129,29,8,2016
199,968,36,40,-0.17993287736858607,29,8,2016
200,968,38,270,0.5500809394992868,29,8,2016
201,968,40,300,0.6453001330037921,29,8,2016
202,968,109,1,-0.30371782892444277,29,8,2016
203,968,113,10,-0.27515207087309124,29,8,2016
204,968,12,110,0.04224524080859265,29,8,2016
205,968,86,24,-0.23071644723765547,29,8,2016
206,968,90,1,-0.30371782892444277,29,8,2016
